,x
533,1504578
534,1504998
535,1505317
536,1505392
537,1505509
538,1505838
539,1505942
540,1505945
541,1506161
542,1506212
543,1506245
544,1506263
545,1506286
546,1506296
547,1506427
548,1506757
549,1507348
550,1507651
551,1507835
552,1507871
553,1508019
554,1508021
555,1508024
556,1508448
557,1508482
558,1508695
559,1509175
560,1509194
561,1509407
562,1509463
563,1509478
564,1509562
565,1509830
566,1509866
567,1509991
568,1510422
569,1510895
570,1511199
571,1511269
572,1511332
573,1511372
574,1511513
575,1511875
576,1511995
577,1512056
578,1512138
579,1512524
580,1512580
581,1513038
582,1513074
583,1513085
584,1513387
585,1513497
586,1513616
587,1513861
588,1514080
589,1514238
590,1514485
591,1514662
592,1514681
593,1514713
594,1514765
595,1515166
596,1515185
597,1515400
598,1515402
599,1515441
600,1515553
601,1515562
602,1515574
603,1515635
604,1515674
605,1515682
606,1515897
607,1515921
608,1515966
609,1516025
610,1516087
611,1516325
612,1516383
613,1516441
614,1516676
615,1516739
616,1516829
617,1517009
618,1517397
619,1517766
620,1517769
621,1517837
622,1517852
623,1517935
624,1518045
625,1518224
626,1518309
627,1518445
628,1518674
629,1518690
630,1518711
631,1518773
632,1518879
633,1518904
634,1518933
635,1518961
636,1519143
637,1519276
638,1519277
639,1519280
640,1519342
641,1519365
642,1519396
643,1519607
644,1519658
645,1519754
646,1519759
647,1519788
648,1519791
649,1519966
650,1520042
651,1520236
652,1520291
653,1520548
654,1520568
655,1520572
656,1520579
657,1520807
658,1520857
659,1521054
660,1521111
661,1521184
662,1521623
663,1521703
664,1521890
665,1522139
666,1522238
667,1522524
668,1522630
669,1522674
670,1522675
671,1522702
672,1522716
673,1522802
674,1522915
675,1522921
676,1522944
677,1522969
678,1523088
679,1523229
680,1523339
681,1523350
682,1523402
683,1523486
684,1523575
685,1523806
686,1523839
687,1523867
688,1524015
689,1524070
690,1524157
691,1524178
692,1524389
693,1524412
694,1524570
695,1524684
696,1524846
697,1525116
698,1525137
699,1525166
700,1525284
701,1525453
702,1525691
703,1525821
704,1526154
705,1526307
706,1526488
707,1527027
708,1527250
709,1527766
710,1527851
711,1528016
712,1528052
713,1528578
714,1528647
715,1528899
716,1528987
717,1529009
718,1529101
719,1529156
720,1529972
721,1530139
722,1530270
723,1530457
724,1530577
725,1530596
726,1530653
727,1530765
728,1530784
729,1531028
730,1531080
731,1531177
732,1531480
733,1531601
734,1531626
735,1531707
736,1531785
737,1531798
738,1531801
739,1531818
740,1531866
741,1532058
742,1532075
743,1532103
744,1532130
745,1532244
746,1532279
747,1532473
748,1532514
749,1532713
750,1532848
751,1532864
752,1532907
753,1533018
754,1533156
755,1533172
756,1533264
757,1533332
758,1533496
759,1533581
760,1533785
761,1533883
762,1533932
763,1534187
764,1534199
765,1534323
766,1534336
767,1534362
768,1534539
769,1534630
770,1534673
771,1534897
772,1534966
773,1534974
774,1535066
775,1535134
776,1535161
777,1535228
778,1535257
779,1535291
780,1535511
781,1535514
782,1535538
783,1535641
784,1535661
785,1535818
786,1535996
787,1536307
788,1536334
789,1536446
790,1536502
791,1536529
792,1536645
793,1536647
794,1536888
795,1536937
796,1536956
797,1537127
798,1537270
799,1537325
800,1537342
801,1537447
802,1537494
803,1537589
804,1537751
805,1537770
806,1537784
807,1537851
808,1537898
809,1537993
810,1538010
811,1538156
812,1538224
813,1538258
814,1538351
815,1538373
816,1538557
817,1538562
818,1538708
819,1538720
820,1538752
821,1538939
822,1538986
823,1539092
824,1539129
825,1539254
826,1539274
